_id,機關名稱,機關代碼,民國年,卡爾森優養指數（ctsi）,優養指標
1,臺北翡翠水庫管理局,379550000G,101,41.22,普養
2,臺北翡翠水庫管理局,379550000G,102,38.15,貧養
3,臺北翡翠水庫管理局,379550000G,103,37.94,貧養
4,臺北翡翠水庫管理局,379550000G,104,38.51,貧養
5,臺北翡翠水庫管理局,379550000G,105,39.26,貧養
6,臺北翡翠水庫管理局,379550000G,106,38.88,貧養
7,臺北翡翠水庫管理局,379550000G,107,37.72,貧養
8,臺北翡翠水庫管理局,379550000G,108,38.36,貧養
9,臺北翡翠水庫管理局,379550000G,109,36.83,貧養
10,臺北翡翠水庫管理局,379550000G,110,37.55,貧養
11,臺北翡翠水庫管理局,379550000G,111,38.04,貧養
12,臺北翡翠水庫管理局,379550000G,112,37.11,貧養
13,臺北翡翠水庫管理局,379550000G,113,37.47,貧養
14,臺北翡翠水庫管理局,379550000G,114,37.61,貧養
