位置,設施名稱,設備編碼,經度,緯度
木柵公園,告示牌1面,公-木柵-1,121.559726,24.986771
木柵公園,告示牌1面,公-木柵-2,121.558743,24.986723
景美運動公園,告示牌1面,公-景運-1,121.3237,25.0009
景美運動公園,告示牌1面,公-景運-2,121.3239,25.0012
景美運動公園,救生圈1具,公-景運-3,121.3237,25.001
興隆公園,告示牌1面,公-興隆-1,121.551184,25.000278
興隆公園,救生圈1具,公-興隆-2,121.551191,25.000158
興隆公園,救生圈1具,公-興隆-3,121.55114,25.000241
文山森林公園,告示牌1面,公-文森-1,121.54576,25.003449
文山森林公園,告示牌1面,公-文森-3,121.545462,25.003709
文山森林公園,救生圈1具,公-文森-2,121.545602,25.003586
文山森林公園,救生圈1具,公-文森-4,121.545509,25.003887
保儀公園,告示牌1面,公-保儀-1,121.563683,24.983681
保儀公園,告示牌1面,公-保儀-2,121.563594,24.983506
保儀公園,救生圈1具,公-保儀-3,121.563686,24.983557
