位置,設施名稱,設備編碼,經度,緯度
北投公園光明路260號對側,告示牌1面,公-北投-1,121.509388,25.136742
北投公園光明路260號對側,告示牌1面,公-北投-2,121.5097,25.136876
北投公園光明路260號對側,告示牌2面,公-北投-3,121.510191,25.136718
北投公園中山北路28-7號附近,告示牌1面,公-北投-4,121.510055,25.136934
北投公園公廁附近,救生圈1具,公-北投-5,121.5063747,25.136742
公館公園三合街1段36巷對面,救生圈1具告示牌1面,公-公館-1,121.505937,25.128276
公館公園雲來寺對面,告示牌1面,公-公館-2,121.506447,25.128254
公館公園雲來寺對面,告示牌1面,公-公館-3,121.506492,25.12814
公館公園三合街1段36巷對面,救生圈1具,公-公館-4,121.506173,25.127785
公館公園三合街1段36巷對面,救生圈1具,公-公館-5,121.505937,25.128276
崇仰公園公館路255巷43號,救生圈1具告示牌6面,公-崇仰-1,121.511149,25.126321
奇岩一號公園磺港路191號對面,救生圈1具告示牌8面,公-奇岩一號-1,121.503911,25.127434
奇岩一號公園磺港路191號對面,救生圈1具,公-奇岩一號-2,121.503972,25.127203
奇岩一號公園磺港路191號對面,救生圈1具,公-奇岩一號-3,121.5035514,25.1279005
奇岩一號公園磺港路191號對面,救生圈1具,公-奇岩一號-4,121.5035973,25.1282187
奇岩二號公園奇岩抽水站附近,救生圈1具告示牌6面,公-奇岩二號-1,121.5032805,25.1245147
奇岩二號公園公廁附近,救生圈1具,公-奇岩二號-2,121.5037053,25.1248908
奇岩二號公園三合街一段117巷58-60號對面,救生圈1具,公-奇岩二號-6,121.5041193,25.1250836
奇岩三號公園公館路225巷43號附近,救生圈1具告示牌3面,公-奇岩三號-1,121.504732,25.125609
奇岩三號公園三合街1段63-77號附近,救生圈1具,公-奇岩三號-2,121.505215,25.126067
前山公園涼亭旁,救生圈1具,公-前山1,121.548125,25.15112
前山公園陽明湖邊,救生圈1具,公-前山2,121.548166,25.149975
陽明公園湖山綠地,救生圈1具告示牌1面,公-陽明1,121.543724,25.151736
陽明公園辛亥光復樓前,救生圈1具告示牌1面,公-陽明2,121.539525,25.15962
陽明公園近王陽明雕像,告示牌2面,公-陽明3,121.54009,25.159289
陽明公園湖山路2段,告示牌1面,公-陽明4,121.5356,25.160646
陽明公園湖山路2段,救生圈1具,公-陽明5,121.535631,25.160715
