位置,設施名稱,設備編碼,經度,緯度
大湖公園公廁右側,救生圈1具救生桿1支告示牌1面,公-大湖-1,121.603637,25.08052
大湖公園公廁32號道路底,救生圈1具救生桿1支告示牌1面,公-大湖-2,121.6046111,25.0802977
大湖公園錦帶橋靠公廁邊,告示牌1面,公-大湖-3,121.6036071,25.0807426
大湖公園錦帶橋旁公廁端,救生圈1具救生桿1支告示牌1面,公-大湖-4,121.6036115,25.08066046
大湖公園錦帶橋獅子亭側,告示牌1座2面,公-大湖-5,121.6035179,25.0813271
大湖公園B池錦帶橋左側,救生圈1具救生桿1支告示牌1面,公-大湖-6,121.6035484,25.08139325
大湖公園A池獅子亭景觀平台右側,告示牌1座2面,公-大湖-7,121.6036281,25.0816499
大湖公園錦帶橋往泳池步道左側,救生圈1具救生桿1支告示牌1面,公-大湖-8,121.6037159,25.08176756
大湖公園A池景觀平台左側,告示牌1座2面,公-大湖-9,121.6037277,25.08163
大湖公園A池銅像前,救生圈1具救生桿1支告示牌1面,公-大湖-10,121.6038687,25.0819179
大湖公園九曲橋往銅像廣場側,救生圈1具救生桿1支告示牌1面,公-大湖-11,121.6043148,25.08203067
大湖公園九曲橋入口右側,救生圈1具救生桿1支告示牌1面,公-大湖-12,121.6047514,25.0820922
大湖公園水謝歌臺內,救生圈1具救生桿1支告示牌1面,公-大湖-13,121.60502,25.081893
大湖公園九曲橋入口左側,告示牌1面,公-大湖-14,121.60485,25.0822318
大湖公園水閘門機電設施旁近成功路5段側,救生圈1具救生桿1支告示牌1面,公-大湖-15,121.6050317,25.08228101
大湖公園北側沉砂池旁,告示牌1面,公-大湖-16,121.605022,25.0824046
大湖公園西側C池陽光草皮前,告示牌1座2面,公-大湖-17,121.6033,25.0821493
大湖公園C池體健區入口處,告示牌1面,公-大湖-18,121.60264,25.0820651
大湖公園C池小山丘旁,救生圈1具救生桿1支告示牌1座2面,公-大湖-19,121.602661,25.081441
大湖公園C池涼亭右側,救生圈1具救生桿1支告示牌1面,公-大湖-20,121.603015,25.0815582
大湖公園B池錦帶橋右側,告示牌1面,公-大湖-21,121.603145,25.0814028
大湖公園C池觀景平台左側,告示牌1座2面,公-大湖-22,121.603412,25.08182
碧湖公園環湖步道停車場入口右側,救生圈1具救生桿1支告示牌1面,公-碧湖-1,121.581206,25.0832
碧湖公園觀景台座椅旁,救生圈1具救生桿1支告示牌1面,公-碧湖-2,121.581536,25.083458
碧湖公園閱覽室右前方,救生圈1具救生桿1支告示牌1面,公-碧湖-3,121.5824857,25.08286277
碧湖公園環湖步道閱覽室右側,救生圈1具救生桿1支,公-碧湖-4,121.58291,25.082124
碧湖公園公廁往閱覽室方向,救生圈1具救生桿1支告示牌1面,公-碧湖-5,121.5830662,25.081595
碧湖公園環湖步道公廁前,救生圈1具救生桿1支告示牌1面,公-碧湖-6,121.583892,25.08202828
碧湖公園環湖步道九曲橋前,告示牌1面,公-碧湖-7,121.586039,25.08183276
碧湖公園環湖步道九曲橋右側,告示牌1面,公-碧湖-8,121.5856942,25.08160533
碧湖公園環湖步道入口意象左側,救生圈1具救生桿1支告示牌1面,公-碧湖-9,121.585696,25.08101755
碧湖公園環湖步道內湖路2段旁,告示牌1面,公-碧湖-10,121.584389,25.08061604
碧湖公園環湖步道內湖路2段土地公廟對面,救生圈1具救生桿1支,公-碧湖-11,121.5839845,25.08043811
碧湖公園環湖步道內湖路2段土地公廟對面,告示牌1面,公-碧湖-12,121.5835086,25.08014231
碧湖公園環湖步道內湖路2段旁土地公廟對面水閘門,告示牌1面,公-碧湖-13,121.5833411,25.08019692
碧湖公園環湖步道花架旁,救生圈1具救生桿1支告示牌1面,公-碧湖-14,121.582413,25.08041794
碧湖公園環湖步道木棧道入口,告示牌1面,公-碧湖-15,121.58176,25.08122896
碧湖公園環湖步道木棧道入口,告示牌1面,公-碧湖-16,121.5815317,25.0814651
碧湖公園環湖步道網球場旁,救生圈1具救生桿1支告示牌1面,公-碧湖-17,121.5813564,25.08212067
碧湖公園環湖步道近網球場,救生圈1具救生桿1支告示牌1面,公-碧湖-18,121.581335,25.08254289
碧湖公園環湖步道近網球場,告示牌1面,公-碧湖-19,121.581356,25.082011
碧湖公園環湖步道閱覽室右側,告示牌1面,公-碧湖-20,121.58284,25.082165
