位置,設施名稱,設備編碼,經度,緯度
新新公園生態池畔,告示牌1面,公-新新1,121.590332,25.051567
新新公園生態池畔,告示牌1面,公-新新2,121.588196,25.051567
新新公園生態池畔,告示牌1面,公-新新3,121.589417,25.053064
新新公園生態池橋上,游泳圈1具,公-新新4,121.589264,25.051819
新新公園生態池橋上,游泳圈1具,公-新新5,121.590332,25.051567
新新公園生態池橋上,游泳圈1具,公-新新6,121.590332,25.051567
南港公園大草坪旁,告示牌1面,公-南港1,121.592167,25.043778
南港公園排水閘門對面,游泳圈1具,公-南港2,121.591917,25.043444
南港公園涼亭旁,告示牌1面,公-南港3,121.591417,25.042333
南港公園小島上,告示牌1面,公-南港4,121.591556,25.041639
南港公園小島上,告示牌1面,公-南港5,121.591583,25.041556
南港公園小島上,告示牌1面,公-南港6,121.591639,25.041583
南港公園小島上,告示牌1面,公-南港7,121.591639,25.041667
南港公園園路旁,救生圈1具,公-南港8,121.591694,25.042333
南港公園釣魚區,告示牌1面,公-南港9,121.592306,25.043056
南港公園釣魚區,救生圈1具,公-南港10,121.592333,25.043139
南港公園東新街170巷旁,救生圈1具,公-南港11,121.592806,25.042722
南港公園涼亭旁,救生圈1具,公-南港12,121.592389,25.042278
南港公園進水口附近,告示牌1面,公-南港13,121.593111,25.041194
,,,,
