位置,設施名稱,設備編碼,經度,緯度
大安森林公園生態池南向景觀台,告示牌1面,公-大安-1,121.534975,25.031043
大安森林公園生態池南向景觀台左側,救生圈1具救生桿1支告示牌1面,公-大安-2,121.534925,25.031033
大安森林公園生態池西向,告示牌1面,公-大安-3,121.534443,25.03131
大安森林公園生態池西北向,告示牌1面,公-大安-4,121.534343,25.03173
大安森林公園生態池北北西向,告示牌1面,公-大安-5,121.534373,25.03194
大安森林公園生態池北向景觀台,救生圈1具救生桿1支告示牌1面,公-大安-6,121.534528,25.03202
大安森林公園生態池北北東向,告示牌1面,公-大安-7,121.534785,25.03201
大安森林公園生態池東向,告示牌1面,公-大安-8,121.534932,25.03184
大安森林公園生態池東南向公園腳底按摩區,告示牌1面,公-大安-9,121.535273,25.03123
大安森林公園生態池西北北向,告示牌1面,公-大安-10,121.534669,25.03205
