¤ë¥÷,§Ç¸¹,ªe¤t¦WºÙ,ºÊ´ú¯¸,¤ô·Å¼Æ­È¡]¢J¡^,®ð·Å¼Æ­È¡]¢J¡^,pH¼Æ­È,·»®ñ¶q¼Æ­È¡]mg/l¡^,¥Í¤Æ»Ý®ñ¶q¼Æ­È¡]mg/l¡^,®ò´á¼Æ­È¡]mg/l¡^,µv»ÄÆQ´á¼Æ­È¡]mg/l¡^,¨Èµv»ÄÆQ´á¼Æ­È¡]mg/l¡^,Äa¯B©TÅé¼Æ­È¡]mg/l¡^,¤Æ¾Ç»Ý®ñ¶q¼Æ­È¡]mg/l¡^,Âð¼Æ­È¡]ug/l¡^,»Ì¼Æ­È¡]ug/l¡^,»É¼Æ­È¡]ug/l¡^,¹]¼Æ­È¡]ug/l¡^,¾N¼Æ­È¡]ug/l¡^,ÅK¼Æ­È¡]ug/l¡^,¿ø¼Æ­È¡]ug/l¡^,»È¼Æ­È¡]ug/l¡^,Âì¼Æ­È¡]ug/l¡^,¨E¼Æ­È¡]ug/l¡^,¯~¼Æ­È¡]ug/l¡^,¾É¹q«×¼Æ­È¡]umho/cm¡^,Á`ÁC¼Æ­È¡]mg/l¡^,¿B«×¼Æ­È¡]NTU¡^,¤j¸z±ìµß¸s¼Æ­È¡]CFU/100 ml¡^,´âÆQ¼Æ­È¡]mg/l¡^,Á`´á¼Æ­È¡]mg/l¡^
1,1,·s©±·Ë,¥ÃºÖ¾ô,19.4,24,7.2,7.4,2,0.34,0.54,0.05,3.8,3.6,ND<0.648,ND<0.632,0.994,ND<0.642,2.25,---,26.3,ND<0.625,ND<0.642,ND<0.2,---,128,---,2.7,3.00E+04,10.4,---
1,2,´º¬ü·Ë,¸UºÖ¾ô,18,20.5,7.4,8.1,1.3,0.12,0.81,0.07,2.7,4.3,ND<0.648,ND<0.632,0.862,ND<0.642,2.84,---,19.3,ND<0.625,ND<0.642,ND<0.2,---,149,---,1,4.50E+04,12,---
1,3,´º¬ü·Ë,«í¥ú¾ô,18,20.5,7.4,7.1,1.3,0.25,0.96,0.07,2.3,4.9,ND<0.648,ND<0.632,1.45,ND<0.642,2.48,---,30.6,ND<0.625,ND<0.642,ND<0.2,---,158,---,1.2,1.50E+05,12.3,---
1,4,´º¬ü·Ë,´º¬ü¾ô,18.8,20.5,7.3,7.1,1.8,0.51,0.91,0.08,2,4.8,ND<0.648,ND<0.632,1.07,ND<0.642,2.16,---,27.3,ND<0.625,ND<0.642,ND<0.2,---,170,---,1.3,8.00E+04,12.1,---
1,5,²H¤ôªe,»O¥_¾ô,20,24,7.1,4.2,2.4,1.58,0.54,0.04,20.2,8.3,ND<0.648,0.966,3.96,1.13,6.63,---,52.9,ND<0.625,1.86,ND<0.2,---,207,---,12,1.70E+05,22.2,---
1,6,°ò¶©ªe,¦¨¥\¾ô,19.3,20.5,7.2,5.7,1.4,0.27,0.86,0.06,2.7,4.2,ND<0.648,1.11,3.77,0.839,4.45,---,36.4,ND<0.625,1.15,ND<0.2,---,183,---,3.6,9.50E+04,22,---
1,7,°ò¶©ªe,¤jª½¾ô,19.8,20.5,7.1,4.5,1.7,0.92,1.13,0.08,14.8,7.9,ND<0.648,0.676,5.97,1.02,7.64,---,46.7,ND<0.625,1.37,ND<0.2,---,205,---,11,7.00E+03,26.9,---
1,8,°ò¶©ªe,©Ó¼w¾ô,19.9,21,7,4.6,1.1,0.63,1.59,0.08,7.2,7,ND<0.648,1.82,7.09,0.791,7.52,---,35.1,ND<0.625,1.62,ND<0.2,---,211,---,5.7,1.30E+03,22.4,---
1,9,Âù·Ë,Âù·Ë¨ú¤ô¤f,18.8,21,8.1,9.7,0.5,ND<0.07,0.6,0.02,0.6,ND<1.5,ND<0.648,ND<0.632,0.772,ND<0.642,1.13,---,5.75,ND<0.625,ND<0.642,ND<0.2,---,116,---,1.6,2.60E+03,10.8,---
1,10,Âù·Ë,«Cò¢·Ë,18.7,21.5,7.9,9.6,0.7,ND<0.07,1.06,0.02,1.5,1.6,ND<0.648,ND<0.632,1.08,ND<0.642,1.84,---,7.84,ND<0.625,ND<0.642,ND<0.2,---,150,---,1.5,3.60E+03,12.4,---
