¤ë¥÷,§Ç¸¹,ªe¤t¦WºÙ,ºÊ´ú¯¸,¤ô·Å¼Æ­È¡]¢J¡^,®ð·Å¼Æ­È¡]¢J¡^,pH¼Æ­È,·»®ñ¶q¼Æ­È¡]mg/l¡^,¥Í¤Æ»Ý®ñ¶q¼Æ­È¡]mg/l¡^,®ò´á¼Æ­È¡]mg/l¡^,µv»ÄÆQ´á¼Æ­È¡]mg/l¡^,¨Èµv»ÄÆQ´á¼Æ­È¡]mg/l¡^,Äa¯B©TÅé¼Æ­È¡]mg/l¡^,¤Æ¾Ç»Ý®ñ¶q¼Æ­È¡]mg/l¡^,Âð¼Æ­È¡]ug/l¡^,»Ì¼Æ­È¡]ug/l¡^,»É¼Æ­È¡]ug/l¡^,¹]¼Æ­È¡]ug/l¡^,¾N¼Æ­È¡]ug/l¡^,ÅK¼Æ­È¡]ug/l¡^,¨E¼Æ­È¡]ug/l¡^,¯~¼Æ­È¡]ug/l¡^,¿ø¼Æ­È¡]ug/l¡^,»È¼Æ­È¡]ug/l¡^,Âì¼Æ­È¡]ug/l¡^,¾É¹q«×¼Æ­È¡]umho/cm¡^,Á`ÁC¼Æ­È¡]mg/l¡^,¿B«×¼Æ­È¡]NTU¡^,¤j¸z±ìµß¸s¼Æ­È¡]CFU/100 ml¡^,´âÆQ¼Æ­È¡]mg/l¡^,Á`´á¼Æ­È¡]mg/l¡^
1,1,·s©±·Ë,¥ÃºÖ¾ô,17.9,21.5,7.1,6.9,2.5,0.85,0.83,0.06,4.2,2.9,ND<0.667,ND<0.657,1.33,ND<0.663,2.54,---,ND<0.200,---,39.5,ND<0.652,1.68,166,---,1.3,7.00E+03,9.1,---
1,2,´º¬ü·Ë,¸UºÖ¾ô,16.4,19.5,7.3,8.3,2.6,0.67,1.07,0.08,2.5,6.7,ND<0.667,ND<0.657,ND<0.662,ND<0.663,7.29,---,ND<0.200,---,34.5,ND<0.652,ND<0.647,191,---,0.7,1.30E+05,12.7,---
1,3,´º¬ü·Ë,«í¥ú¾ô,15.5,19,7.4,9.4,1.4,2.54,1.77,0.19,2.7,6.2,ND<0.667,ND<0.657,1.14,ND<0.663,11.1,---,ND<0.200,---,50.9,ND<0.652,ND<0.647,226,---,1.5,1.20E+04,17.2,---
1,4,´º¬ü·Ë,´º¬ü¾ô,16.4,18.5,7.3,7.1,3.6,1.12,1.43,0.11,3.7,8.2,ND<0.667,ND<0.657,1.95,0.909,10.7,---,ND<0.200,---,43.8,ND<0.652,1.98,230,---,0.95,3.70E+04,21,---
1,5,²H¤ôªe,»O¥_¾ô,17.8,24,7,3.4,3.4,2.51,0.77,0.08,28.5,9,ND<0.667,0.857,4.22,1.55,12.2,---,ND<0.200,---,81.8,ND<0.652,3.3,398,---,12,3.00E+04,43.4,---
1,6,°ò¶©ªe,¦¨¥\¾ô,16.6,18.5,6.9,4.2,3.8,1.06,1.32,0.11,5.2,7.5,ND<0.667,ND<0.657,2.5,ND<0.663,6.03,---,ND<0.200,---,35.2,ND<0.652,1.04,232,---,3.4,1.30E+04,19.7,---
1,7,°ò¶©ªe,¤jª½¾ô,17.7,18.5,6.8,4.3,5.3,1.55,1.46,0.23,14.6,11,ND<0.667,ND<0.657,2.8,0.928,8.52,---,ND<0.200,---,36.5,ND<0.652,1.36,245,---,9.2,1.60E+04,21.7,---
1,8,°ò¶©ªe,©Ó¼w¾ô,17.7,20,6.8,4.4,4,1.32,1.59,0.23,15.1,9.7,ND<0.667,ND<0.657,2.67,0.946,8.14,---,ND<0.200,---,33.5,ND<0.652,1.39,250,---,10,1.80E+04,24.2,---
1,9,Âù·Ë,Âù·Ë¨ú¤ô¤f,13.9,19,7.5,11.3,0.5,ND<0.02,0.62,ND<0.01,1.7,2.4,ND<0.667,ND<0.657,ND<0.662,ND<0.663,1.86,---,ND<0.200,---,6.32,ND<0.652,ND<0.647,124,---,1.3,2.20E+03,9.8,---
1,10,Âù·Ë,«Cò¢·Ë,15,19,7.5,12.3,0.3,ND<0.02,1.38,ND<0.01,2.1,1.7,ND<0.667,ND<0.657,0.907,ND<0.663,5.48,---,ND<0.200,---,9.45,ND<0.652,ND<0.647,170,---,1.4,3.80E+03,10.9,---
1,11,Âù·Ë,´_¿³¾ô,16.2,19,7.5,11.2,0.7,ND<0.02,1.4,ND<0.01,1.6,2,ND<0.667,ND<0.657,0.737,ND<0.663,3.78,---,ND<0.200,---,10.2,ND<0.652,ND<0.647,183,---,1.4,3.40E+04,11,---
1,12,ÁD·Ë,¶§©ú¤s,15.3,15,7.4,10.3,0.6,ND<0.02,0.66,ND<0.01,3.5,7.1,ND<0.667,ND<0.657,0.844,ND<0.663,4.45,---,ND<0.200,---,5.33,ND<0.652,ND<0.647,230,---,1.8,2.10E+04,10.7,---
1,13,ÁD·Ë,ÁD·Ë¾ô,19.3,21,4.7,9.4,0.7,0.2,0.88,ND<0.01,18.3,3.1,ND<0.667,1.05,1.33,0.785,19.2,---,ND<0.200,---,162,ND<0.652,0.781,445,---,16,2.70E+02,45.4,---
1,14,¶Q¤l§|·Ë,·s¶Q¤l§|,15.4,18,8,11,1.6,ND<0.02,2.01,0.04,8.7,6.2,ND<0.667,ND<0.657,1.63,ND<0.663,7.38,---,ND<0.200,---,63.3,ND<0.652,ND<0.647,270,---,5,6.00E+03,14.7,---
1,15,¤s½Þ¸]·Ë,¤s½Þ¸]·Ë,17,19,8,10.2,3.4,0.23,2.74,0.12,1.7,4.6,ND<0.667,ND<0.657,1.37,ND<0.663,2.82,---,ND<0.200,---,57,ND<0.652,0.844,648,---,1,2.00E+02,68.9,---
1,16,ÁD´ä·Ë,¤jÂ×°±¨®³õ,23,21,2.6,6.9,1.5,3.59,0.77,0.01,4.1,8,1.6,2.7,5.2,97.2,320,---,ND<0.200,343,954,ND<0.652,3.01,2500,---,1,<10,216,---
2,1,·s©±·Ë,¥ÃºÖ¾ô,16.4,17,7.2,8,2.7,0.58,0.7,0.05,3.6,5.6,---,---,---,---,---,---,---,---,---,---,---,150,---,5.8,5.20E+04,10.4,---
2,2,´º¬ü·Ë,¸UºÖ¾ô,16.9,15.5,7.5,8.2,3.3,0.54,1,0.06,2.8,4.8,---,---,---,---,---,---,---,---,---,---,---,174,---,1.3,9.00E+04,10.9,---
2,3,´º¬ü·Ë,«í¥ú¾ô,16.9,15.5,7.4,7.7,4.5,0.83,1.17,0.09,1.5,5.5,---,---,---,---,---,---,---,---,---,---,---,186,---,1.6,3.00E+04,12.8,---
2,4,´º¬ü·Ë,´º¬ü¾ô,17.1,15.5,7.4,7.2,3,0.55,1.19,0.08,4.4,6.6,---,---,---,---,---,---,---,---,---,---,---,189,---,3,3.80E+04,12.9,---
2,5,²H¤ôªe,»O¥_¾ô,17,18,7,5.4,5.8,1.64,0.56,0.04,17.6,11.8,---,---,---,---,---,---,---,---,---,---,---,174,---,22,3.70E+05,21.7,---
2,6,°ò¶©ªe,¦¨¥\¾ô,17.9,20.5,7.2,6.2,2.9,0.46,1.06,0.06,2.2,5.2,---,---,---,---,---,---,---,---,---,---,---,186,---,3.5,4.10E+04,16.1,---
2,7,°ò¶©ªe,¤jª½¾ô,18.7,20,7.2,5.4,3,0.71,1.53,0.05,12.6,9.8,---,---,---,---,---,---,---,---,---,---,---,200,---,9.4,1.60E+04,17.2,---
2,8,°ò¶©ªe,©Ó¼w¾ô,18.7,20.5,7.1,4.7,3.2,0.81,1.54,0.04,4.1,8,---,---,---,---,---,---,---,---,---,---,---,195,---,4.1,3.00E+04,17,---
2,9,Âù·Ë,Âù·Ë¨ú¤ô¤f,14.9,16,7,10.3,1.5,ND<0.02,0.73,ND<0.01,3.6,2.1,---,---,---,---,---,---,---,---,---,---,---,123,---,2.3,2.70E+03,12.8,---
2,10,Âù·Ë,«Cò¢·Ë,15.7,15.5,7.4,10.2,0.1,ND<0.02,1.32,ND<0.01,3.9,3.1,---,---,---,---,---,---,---,---,---,---,---,168,---,3,1.40E+04,15.2,---
2,11,Âù·Ë,´_¿³¾ô,16,16.5,7.5,9.9,1.6,ND<0.02,1.32,ND<0.01,2.6,2.2,---,---,---,---,---,---,---,---,---,---,---,178,---,2.8,1.00E+05,15.5,---
2,12,ÁD·Ë,¶§©ú¤s,15.8,17,7.6,10,0.2,ND<0.02,0.67,ND<0.01,0.8,3,---,---,---,---,---,---,---,---,---,---,---,151,---,1,5.50E+04,14.8,---
2,13,ÁD·Ë,ÁD·Ë¾ô,20.7,22,4.4,8.7,1.8,0.14,0.94,ND<0.01,7.8,4.8,---,---,---,---,---,---,---,---,---,---,---,532,---,6.7,3.30E+02,78.4,---
2,14,¶Q¤l§|·Ë,·s¶Q¤l§|,22.4,21.5,8.7,8.9,1.7,ND<0.02,2.09,0.05,4.6,6.6,---,---,---,---,---,---,---,---,---,---,---,279,---,3,2.50E+03,24.7,---
2,15,¤s½Þ¸]·Ë,¤s½Þ¸]·Ë,15.9,17,8,9.4,3.2,0.2,1.84,0.07,4.6,8.4,---,---,---,---,---,---,---,---,---,---,---,1220,---,2.5,1.90E+03,212,---
2,16,ÁD´ä·Ë,¤jÂ×°±¨®³õ,22.5,18.5,2.6,7.3,2,2.98,0.79,ND<0.01,3.6,10.8,---,---,---,---,---,---,---,---,---,---,---,2360,---,1.8,45,233,---
3,1,·s©±·Ë,¥ÃºÖ¾ô,18.9,17.5,7.3,7.8,2.2,0.2,0.71,0.04,8,10.5,---,---,---,---,---,---,---,---,---,---,---,126,---,8.4,9.00E+04,12.1,---
3,2,´º¬ü·Ë,¸UºÖ¾ô,21.4,29,7.5,6.2,3.4,0.88,1.08,0.13,3,7.3,---,---,---,---,---,---,---,---,---,---,---,196,---,1.5,3.40E+04,19.3,---
3,3,´º¬ü·Ë,«í¥ú¾ô,23.3,29,7.3,4.7,3.5,3.17,1.36,0.2,3.7,9.4,---,---,---,---,---,---,---,---,---,---,---,230,---,1.8,1.50E+04,27.1,---
3,4,´º¬ü·Ë,´º¬ü¾ô,21.7,27,7.3,5.1,2.8,1.4,1.37,0.13,5.5,9.3,---,---,---,---,---,---,---,---,---,---,---,234,---,1.9,1.90E+04,27.3,---
3,5,²H¤ôªe,»O¥_¾ô,19.5,17.5,6.7,6.3,2.9,0.49,0.6,0.04,33,11.7,---,---,---,---,---,---,---,---,---,---,---,123,---,13,2.10E+05,12.4,---
3,6,°ò¶©ªe,¦¨¥\¾ô,21.4,21,7.2,3.6,3,1.02,1.23,0.11,9.5,13.3,---,---,---,---,---,---,---,---,---,---,---,230,---,5.8,1.50E+05,36.9,---
3,7,°ò¶©ªe,¤jª½¾ô,21.4,22,7.1,3.1,3.3,1.06,1.17,0.09,40.8,19.5,---,---,---,---,---,---,---,---,---,---,---,186,---,9.7,1.70E+05,32.1,---
3,8,°ò¶©ªe,©Ó¼w¾ô,21.4,22,7.1,3.3,2.8,1.07,1.22,0.09,6.5,15.4,---,---,---,---,---,---,---,---,---,---,---,186,---,7.6,2.30E+05,33.4,---
3,9,Âù·Ë,Âù·Ë¨ú¤ô¤f,19.3,23,7.3,8.5,0.6,ND<0.02,0.57,ND<0.01,2.3,1.9,---,---,---,---,---,---,---,---,---,---,---,123,---,1.8,2.70E+03,12.1,---
3,10,Âù·Ë,«Cò¢·Ë,19.2,25,7.7,9.3,0.2,ND<0.02,1.27,ND<0.01,3.8,2.8,---,---,---,---,---,---,---,---,---,---,---,170,---,1.6,2.40E+04,14.6,---
3,11,Âù·Ë,´_¿³¾ô,20.1,26,7.6,9.5,0.4,ND<0.02,1.22,ND<0.01,3.5,2.4,---,---,---,---,---,---,---,---,---,---,---,172,---,1.7,1.50E+04,14.8,---
3,12,ÁD·Ë,¶§©ú¤s,19.2,22,7.6,8.9,2.4,0.47,0.63,ND<0.01,2.3,8.1,---,---,---,---,---,---,---,---,---,---,---,144,---,1.2,4.40E+05,13.3,---
3,13,ÁD·Ë,ÁD·Ë¾ô,24.7,23,4.5,7.8,1.3,0.1,0.88,ND<0.01,8.5,4.4,---,---,---,---,---,---,---,---,---,---,---,496,---,9.9,2.30E+02,77.2,---
