OBJECTID（編號）,DISTRICT（行政區）,ENGINEID（外租機械編號）,ENGLOC（位置敘述）,ENGNAME（設備名稱）,EMAN（責任承辦人）,市話,行動電話,EFIRM（責任廠商）,SPRECDATE,SPUSEDIR,Longitude,Latitude
1,北投區,北投2,八仙圳致遠三路閘門口(致遠三路47號前),"挖土機1輛(PC-120)
傾卸貨車1輛(總重15~15.9噸)",工務科北投工務所主任,(02)28210356,978300189,世煌工程有限公司,,,121.5135298,25.12281079
2,北投區,北投3,立農街1段187巷與西安街交叉口(八仙圳欄污柵清除堵塞物),"挖土機1輛(PC-45)
傾卸貨車1輛(總重15~15.9噸)",工務科北投工務所主任,(02)28210356,978300189,世煌工程有限公司,,,121.5047928,25.12086362
3,北投區,北投4,北投中和街455巷1弄口,"引擎式抽水機3台(4""口徑)",工務科北投工務所主任,(02)28210356,978300189,世煌工程有限公司,,,121.4865394,25.13833809
4,北投區,北投5,貴子坑溪左岸與八仙圳倒虹吸工入口處(八仙圳抽排至貴子坑溪),"引擎式抽水機2台(4""口徑)",工務科北投工務所主任,(02)28210356,978300189,世煌工程有限公司,,,121.485843,25.11807778
5,北投區,北投6,文林北路60巷8弄與水利溝交接處,"引擎式抽水機4台(4""口徑)",工務科北投工務所主任,(02)28210356,978300189,世煌工程有限公司,,,121.5197372,25.10447259
6,北投區,北投7,文林北路與明德路口(明德路口),"引擎式抽水機2台(4""口徑)
貨車(總重3.5T)1輛",工務科北投工務所主任,(02)28210356,978300189,世煌工程有限公司,,,121.516724,25.10629808
7,北投區,北投8,明德路3巷口及明德路口,"引擎式抽水機2台(4""口徑)
貨車(總重3.5T)1輛",工務科北投工務所主任,(02)28210356,978300189,世煌工程有限公司,,,121.5169106,25.10654197
8,北投區,北投9,承德路7段401巷173號,"引擎式抽水機3台(4""口徑)",工務科北投工務所主任,(02)28210356,978300189,世煌工程有限公司,,,121.5002926,25.11535471
9,北投區,北投10,公館路231巷口攔污柵,"挖土機(PC-120)1輛
傾卸貨車(總重15~15.9噸)1輛",工務科北投工務所主任,(02)28210356,978300189,世煌工程有限公司,,,121.508,25.1265
10,北投區,北投12,北憲抽水站(北投區承德路七段393巷),"貨車(總重6T)1輛
輪型鏟裝機1輛",抽管科北憲抽水站董衍威,(02)28278720,975707223,世煌工程有限公司,,,121.5006416,25.11818839
