序號,日期,合計水量,支援第一區處水量,支援第十二區處水量
1,01月01日,566541,107573,458968
2,01月02日,593231,112220,481011
3,01月03日,580992,106116,474876
4,01月04日,593418,110753,482665
5,01月05日,586649,108447,478202
6,01月06日,585446,107657,477789
7,01月07日,591917,108265,483652
8,01月08日,608121,114274,493847
9,01月09日,592068,112574,479494
10,01月10日,595065,110319,484746
11,01月11日,597540,109804,487736
12,01月12日,633967,111637,522330
13,01月13日,675683,111213,564470
14,01月14日,717973,115141,602832
15,01月15日,711134,111820,599314
16,01月16日,700499,107691,592808
17,01月17日,724743,107592,617151
18,01月18日,724743,105483,619260
19,01月19日,748221,110426,637795
20,01月20日,753089,113795,639294
21,01月21日,688452,112302,576150
22,01月22日,573211,102721,470490
23,01月23日,559015,93200,465815
24,01月24日,565549,92205,473344
25,01月25日,565885,94341,471544
26,01月26日,599538,98002,501536
27,01月27日,602839,100407,502432
28,01月28日,638557,102181,536376
29,01月29日,664986,107051,557935
30,01月30日,679939,109218,570721
31,01月31日,701218,109805,591413
32,02月01日,736066,108654,627412
33,02月02日,748061,107637,640424
34,02月03日,768246,105854,662392
35,02月04日,784767,104466,680301
36,02月05日,773426,106206,667220
37,02月06日,773243,106244,666999
38,02月07日,785057,106169,678888
39,02月08日,794634,106222,688412
40,02月09日,815614,105222,710392
41,02月10日,819547,103795,715752
42,02月11日,823823,106643,717180
43,02月12日,837751,105767,731984
44,02月13日,847134,107560,739574
45,02月14日,829611,105910,723701
46,02月15日,853780,103928,749852
47,02月16日,889557,129899,759658
48,02月17日,924180,157900,766280
49,02月18日,910857,145667,765190
50,02月19日,909331,144781,764550
51,02月20日,912953,145117,767836
52,02月21日,923969,146033,777936
53,02月22日,938767,146659,792108
54,02月23日,928839,146027,782812
55,02月24日,908760,144368,764392
56,02月25日,878979,140769,738210
57,02月26日,840906,139604,701302
58,02月27日,845882,142569,703313
59,02月28日,900522,145509,755013
60,3月1日,892714,147093,745621
61,3月2日,894388,145546,748842
62,3月3日,901024,143533,757491
63,3月4日,912228,143416,768812
64,3月5日,897292,146944,750348
65,3月6日,918352,145088,773264
66,3月7日,919516,146650,772866
67,3月8日,927707,146005,781702
